Unnamed: 0,Giới tính,Hình thức làm việc,Kinh nghiệm,Mức lương,Ngành nghề,Số lượng tuyển dụng,Thời gian thử việc,Trình độ,Tính chất công việc,Tỉnh/Thành phố,benefits,description,job_title,link,requirements
,Nam,Nhân viên chính thức,Không yêu cầu kinh nghiệm,8 - 11 triệu,Tài xế/Lái xe/Giao nhậnLao động phổ thông,5,1 tháng,Không yêu cầu,Giờ hành chính,Hà Nội,"- Mức lương + Phụ cấp : 8.000.000 VNĐ ~ 11.000.000 VNĐ
- Du lịch hằng năm, 1 lần/ năm
-Thời gian làm việc: sáng từ 8h00 đến 12h, chiều từ 13h30 đến 17h30 từ thứ 2 đến thứ 7, làm 1 ngày chủ nhật trong tháng, nghỉ lễ , phép năm.","- Phụ trách việc giao hàng cho các khách hàng bán buôn trong địa bàn thành phố Hà Nội .
- Hoặc gửi hàng theo các phương tiện vận chuyển cho các khách hàng bán buôn ngoại tỉnh.
- Ưu tiên ứng viên đã có kinh nghiệm giao hàng
-Thời gian làm việc từ 8h-12h và 13h30-17h30",,,"- Tuổi từ 19 - 40 tuổi, sức khỏe tốt
- Có phương tiện xe máy
- Ưu tiên ứng viên biết lái ô tô
- Giới tính: nam
- Thật thà, chăm chỉ, chịu khó, chịu được áp lực công việc."
,Nam,Nhân viên chính thức,Không yêu cầu kinh nghiệm,12 - 15 triệu,Tài xế/Lái xe/Giao nhậnGiao thông/Vận tải/Thủy lợi/Cầu đườngLao động phổ thông,10,2 tháng,Không yêu cầu,Việc làm theo ca/Đổi ca,Hà Nội,"- : thu nhập 12 - 15 triệu trở lên theo năng lực
• Chế độ phúc lợi hấp dẫn: Đóng BHXH, team building/du lịch hàng năm.
• Các chế độ đãi ngộ hấp dẫn khi sử dụng dịch vụ Tập đoàn Vingroup, bảo hiểm chăm sóc sức khỏe;
• Phụ cấp tiền ăn ca, khám sức khỏe định kỳ, lương thưởng các dịp lễ, tết.
• Môi trường làm việc công bằng, văn minh, lộ trình thăng tiến rõ ràng.","- Lái xe trên các tuyến xe buýt điện tại Hà Nội
- Đảm bảo an toàn, đáp ứng tiêu chuẩn dịch vụ của VinBus để mang lại sự hài lòng cho khách hàng ở mức cao nhất.

* Làm việc Tại Hà Nội:
- Vinhomes Smart City, Tây Mỗ, Hà Nội
- Vinhomes Ocean Park, Kiêu Kỵ, Gia Lâm, Hà Nội",,,"- Có bằng E, có kinh nghiệm ít nhất 02 năm lái xe buýt hoặc xe ô tô 30 chỗ trở lên;
- Thông thạo đường giao thông của khu vực nơi làm việc.
- Link ứng tuyển: https://forms.office.com/r/NJdnsRs1qb"
,Không yêu cầu,Nhân viên chính thức,Không yêu cầu kinh nghiệm,7 - 15 triệu,Chăm sóc khách hàngNgân hàng/Chứng khoán/Đầu tưLao động phổ thông,7,Trao đổi trực tiếp khi phỏng vấn,Trung học,Giờ hành chính,TP.HCM,"- Lương cơ bản: từ 6 triệu/tháng + % Hoa hồng + Chuyên cần => Trao đổi trực tiếp khi phỏng vấn

- Được xét nâng lương định kỳ hàng năm, nâng bậc lương khi hoàn thành tốt công việc được giao.

- Các chế độ Bảo Hiểm Xã Hội, Bảo Hiểm Y Tế, Bảo Hiểm Thất Nghiệp theo quy định của nhà nước

- Thưởng các dịp lễ tết hàng năm theo quy định của Công ty.

- Thưởng các ngày Lễ, sinh nhật, lương tháng 13, được hưởng các chế độ phúc lợi khác như: nghỉ mát hàng năm, thăm hỏi ốm đau, hiếu hỉ.

- Được đào tạo nghiệp vụ, kỹ năng cần thiết cho công việc.

- Môi trường làm việc cạnh tranh có nhiều cơ hội thăng tiến.","- Hỗ trợ tư vấn và xử lý hồ sơ cho khách hàng ( danh sách khách hàng sẵn có )

- Chăm sóc khách hàng cũ dựa trên nguồn data sẵn có và phát triển khách hàng mới tiềm năng

- Tìm kiếm, khai thác và phát triển nguồn khách hàng tiềm năng

- Giới thiệu, quảng bá các sản phẩm phụ trách tới các khách hàng

- Làm việc hoàn toàn tại văn phòng giờ hành chính (từ thứ 2 đến sáng thứ 7, chiều thứ 7-CN nghỉ)",,,"- Trình độ từ THPT trở lên

- Độ tuổi: 20- 30

- Bạn có đam mê với công việc bán hàng, và tiếp xúc, chăm sóc khách hàng.

- Bạn tự tin với kỹ năng giao tiếp, là người vui vẻ, hòa đồng với mọi người

- Có kinh nghiệm làm việc trong ngành tài chính hoặc ngành bán lẻ là một lợi thế."
,Không yêu cầu,Nhân viên chính thức,Dưới 1 năm,10 - 12 triệu,Kho vận/Vật tư/Thu muaLao động phổ thôngDược/Hóa chất/Sinh hóa,8,2 tháng,Trung cấp,Giờ hành chính,TP.HCMLong AnĐồng NaiBình Dương,"Mức Lương thỏa thuận
Phụ cấp cơm trưa
- Được làm việc trong môi trường chuyên nghiệp
- Thu nhập tương xứng với năng lực đóng góp
- Các chế độ BHXH, BHYT, BHTN đầy đủ sau 2 tháng thử việc
- Thưởng Lễ Tết, lương tháng 13
- Được đào tạo và trang bị đầy đủ các điều kiện làm việc","- Kiểm tra tình trạng Vacxin và niêm phong trước khi nhập hàng vào kho.
- Thông báo đến Quản lý, Thủ kho về tình trạng Vacxin khi nhập kho, nếu có bất thường lập biên bản báo cáo
- Theo dõi Lên, xuống hàng và làm các thủ tục nhập kho theo quy trình nhập kho.
- Kiểm đếm, chất xếp, phân loại và sắp xếp hàng hóa đúng nơi qui định, đúng quy cách. theo khoa học
- Nhập liệu Vacxin lên hệ thống
- Thực hien cac công tác liên quan theo yêu cầu từ Quản lý.",,,"- Tốt nghiệp chuyên ngành Dược sỹ
- Giao tiếp nhanh nhẹn, tạo thiện cảm tốt
- Vi tính văn phòng căn bản
- Am hiểu Vacxin là một lợi thế"
,Nam,Nhân viên chính thức,Không yêu cầu kinh nghiệm,7 - 10 triệu,Bảo vệ/Vệ sĩ/An ninhLao động phổ thôngTài xế/Lái xe/Giao nhận,100,1 tháng,Không yêu cầu,Việc làm theo ca/Đổi ca,TP.HCM,"- Mức thu nhập hấp dẫn 8 - 10 triệu/tháng ( Ca 8h/ngày + PC )
- Ký hợp đồng lao động chính thức sau 30 ngày, ổn định - lâu dài
- Tham gia đầy đủ chế độ BHXH, BHYT, BHTN. Sau 6 tháng làm việc tham gia bảo hiểm sức khỏe Vingroup
- Tuyển dụng nội bộ, cấp phát đồng phục miễn phí
- Được hưởng chế độ và chính sách đãi ngộ của Công ty (khám sức khỏe định kỳ, phép năm, lễ tết, lương tháng 13, hiếu hỉ....)
- Tham gia các hoạt động tham quan, nghỉ mát của công ty
- Ứng viên từng tham gia Nghĩa Vụ Quân Sự được hưởng lương thử việc bằng chính thức
- Và nhiều phụ cấp đặc thù công việc khác
- Ưu tiên ứng viên đăng ký tại Quận 9 nhận việc ngay.","- Đảm bảo an ninh trật tự tại các khu đô thị của Vinhomes
- Đảm bảo hỗ trợ tốt nhất cho cư dân tại khu đô thị Vinhomes
- Thời gian làm việc: theo ca 8h/ngày; 6 ngày/tuần (có thể tự nguyện đăng ký tăng ca thêm để có thêm thu nhập).

- CÁC ĐỊA ĐIỂM ĐANG TUYỂN DỤNG:
+ Vinhomes Grand Park - Đối diện 591 Nguyễn Xiển, Phường Phước Thiện, Quận 9, TP HCM.
+ Vinhomes Golden River - 02 Tôn Đức Thắng, Quận 1, TP HCM
+ Vinhomes Central Park, 208 Nguyễn Hữu Cảnh, P. 22, Quận Bình Thạnh, TP. HCM.
(ƯU TIÊN LÀM VIỆC TẠI QUẬN 9, NHẬN VIỆC NGAY)",,,"- Nam, từ 18 - 50 tuổi, cao trên 1m60
- Không yêu cầu bằng cấp, kinh nghiệm
- Sức khỏe tốt, không dị tật, không cận thị nặng, không có hình xăm lộ ra ngoài, Không tiền án tiền sự
- Giao tiếp thân thiện, niềm nở"
,Không yêu cầu,Nhân viên chính thức,1 năm,7 - 10 triệu,Du lịch/Nhà hàng/Khách sạnPhục vụ/Tạp vụ/Giúp việcLao động phổ thông,3,1 tháng,Trung cấp,Giờ hành chính,Hà Nội,"- Thu nhập = Lương cứng 6-10tr/tháng (theo thỏa thuận, tay nghề) + TIP + % doanh thu hàng tháng + tiền đầu rượu
- Thời gian linh động
- Cơ hội học hỏi về nghiệp vụ F&B trong một môi trường chuyên nghiệp và được đào tạo bởi chuyên gia từ các khách sạn 5* nổi tiếng người Pháp.
- Bao ăn theo ca làm việc, 1 tháng nghỉ 4 ngày.","Công Ty TNHH RICO Hà Nội mở rộng chi nhánh cần tuyển Phụ Bếp cho Nhà hàng Hải Sản Âu Cao Cấp
- Thực hiện các công việc mà bếp trưởng và người quản lý giao.
- Chịu trách nhiệm sơ chế và xử lý các loại thực phẩm của các món ăn theo yêu cầu của bếp trưởng và khách hàng.
- Sắp xếp các trang thiết bị trong bếp.
- Làm fulltime: thời gian 10 - 14h và 17 - 22h",,,"- Nam, Nữ, từ 20-28 tuổi
- Trung thực, nhanh nhẹn, thái độ tốt."
,Không yêu cầu,Nhân viên chính thức,Không yêu cầu kinh nghiệm,7 - 10 triệu,Phục vụ/Tạp vụ/Giúp việcLao động phổ thôngDu lịch/Nhà hàng/Khách sạn,10,1 tháng,Không yêu cầu,Việc làm theo ca/Đổi ca,TP.HCM,"- Mức thu nhập hấp dẫn 8 - 10 triệu/tháng ( Ca 8h/ngày + PC )
- Ký hợp đồng lao động chính thức sau 30 ngày, ổn định - lâu dài
- Tham gia đầy đủ chế độ BHXH, BHYT, BHTN. Sau 6 tháng làm việc tham gia bảo hiểm sức khỏe Vingroup
- Tuyển dụng nội bộ, cấp phát đồng phục miễn phí
- Được hưởng chế độ và chính sách đãi ngộ của Công ty (khám sức khỏe định kỳ, phép năm, lễ tết, lương tháng 13, hiếu hỉ....)
- Tham gia các hoạt động tham quan, nghỉ mát của công ty
- Và nhiều phụ cấp đặc thù công việc khác
- Ưu tiên ứng viên đăng ký tại Quận 9 nhận việc ngay.","- Thực hiện các công việc vệ sinh thường xuyên và định kỳ trong khu vực;
- Thu gom, phân loại, và vận chuyển đến nơi quy định đối với các loại chất thải khô trong khu vực được phân công;
- Quản lý vật tư, dụng cụ, trang thiết bị làm việc được giao;
-------------------
- CÁC ĐỊA ĐIỂM ĐANG TUYỂN DỤNG:
+ Vinhomes Grand Park - Đối diện 591 Nguyễn Xiển, Phường Phước Thiện, Quận 9, TP HCM.
+ Vinhomes Golden River - 02 Tôn Đức Thắng, Quận 1, TP HCM
+ Vinhomes Central Park, 208 Nguyễn Hữu Cảnh, P. 22, Quận Bình Thạnh, TP. HCM.
(ƯU TIÊN LÀM VIỆC TẠI QUẬN 9, NHẬN VIỆC NGAY)",,,"- Nam/Nữ, từ 18 - 55 tuổi, Sức khỏe tốt
- Không yêu cầu bằng cấp, kinh nghiệm
- Giao tiếp niềm nở, thân thiện, chăm chỉ, cẩn thận
- Ưu tiên có kinh nghiệm làm tạp vụ, housekeeping, vệ sinh môi trường tại các trung tâm thương mại, khách sạn, khu căn hộ."
,Không yêu cầu,Nhân viên chính thức,Dưới 1 năm,10 - 14 triệu,Kinh doanhBán hàngLao động phổ thông,20,1 tháng,Cao đẳng,Giờ hành chính,TP.HCM,"* Tổng thu nhập (gross): 10 triệu ~ 13,5 triệu đồng/tháng.
Trong đó, tổng thu nhập bao gồm lương cơ bản, phụ cấp, thưởng doanh số/ mục tiêu, khoản tiền đóng BHXH theo luật.
※ Mức lương trong thời gian thử việc: bằng 100% lương net
* Chế độ phúc lợi:
- Tăng lương hằng năm.
- Thưởng: 2 lần/năm
- Thưởng thâm niên
- Tham quan nghỉ mát hằng năm.
- Phép năm theo Luật Lao động
- Khám sức khỏe định kỳ hàng năm.
- Mua bảo hiểm tai nạn lao động cho nhân viên.
- Trang bị bảo hộ lao động đầy đủ, đúng qui định pháp luật.
- Được nghỉ các ngày chủ nhật và 2 ngày bất kỳ trong tháng.
- Môi trường làm việc chuyên nghiệp, có tính học hỏi cao.

* Điều kiện làm việc:
• Thời gian làm việc: 08:00 – 17:30 (nghỉ trưa 1,5 giờ)
• Được nghỉ các ngày chủ nhật và 2 ngày bất kỳ trong tháng.
• Môi trường làm việc chuyên nghiệp, có tính học hỏi cao.","- Tuyển dụng cộng tác viên bán hàng (Yakult Lady)
- Huấn luyện, hỗ trợ, đồng hành công việc cùng với những cộng tác viên bán hàng.
- Chăm sóc khách hàng hiện có, khai thác khách hàng mới.
- Tham gia hoạt động phát sản phẩm dùng thử.
- Lập báo cáo công việc theo yêu cầu.
- Nơi làm việc: Các cửa hàng của công ty tại HCM",,,"- Nam/ Nữ tuổi từ 21 đến 28.
- Tốt nghiệp Cao đẳng trở lên
- không cần kinh nghiệm, sẽ được công ty đào tạo
- Thích giao tiếp, có sức khỏe, năng động, chịu khó.
- Tích cực công việc hoạt động bên ngoài.
- Không có hình xăm trên người."
,Không yêu cầu,Nhân viên chính thức,Không yêu cầu kinh nghiệm,8 - 12 triệu,Bảo vệ/Vệ sĩ/An ninhLao động phổ thôngSinh viên/Mới tốt nghiệp/Thực tập,50,1 tháng,Trung học,Việc làm theo ca/Đổi ca,Hà NộiTP.HCMBình DươngHải PhòngĐà Nẵng,"""Nếu bạn tìm kiếm một công việc có thu nhập KHÁ và ỔN ĐỊNH thì SECOM là công ty tốt nhất""
""Nếu bạn làm việc mà còn có thể đảm bảo SỨC KHỎE của NGƯỜI THÂN mình được chăm sóc hoàn toàn thì SECOM là lựa chọn hoàn hảo""
""Nếu bạn nghĩ cho TƯƠNG LAI sau này của mình khi đến tuổi nghỉ hưu thì SECOM là nơi bạn thấy an tâm nhất""

- Lương vị trí bảo vệ: 8.500.000 vnđ đến 12.000.000 vnđ
- Làm việc ở trung tâm thương mại được cộng thêm 1,800,000 vnđ/ tháng. (Tổng thu nhập tối thiểu 10,500,000 vnđ/tháng)
- Được đào tạo miễn phí trước khi làm việc và đào tạo nâng cao
- Được trả 100% lương cơ bản trong thời gian đào tạo và thử việc.
- Thử việc 1 tháng và được ký hợp đồng lao động ngay.
- Được nghỉ 4 ngày/tháng và có 12 ngày phép/năm hưởng nguyên lương
- Được đóng Bảo hiểm y tế, Bảo hiểm xã hội và Bảo hiểm thất nghiệp theo Luật lao động.
- Được mua bảo hiểm tai nạn với mức bồi thường lên đến 30 tháng lương.
- Đánh giá tăng lương hàng năm.
- Thưởng cuối năm
- Mỗi năm công ty phát 2 bộ đồng phục (không đặt cọc tiền)
- Được trả lương vào ngày cuối tháng và đúng hạn.
- Không đặt cọc tiền hay giữ lương bất cứ hình thức nào
- Sau một năm làm việc được công ty mua gói bảo hiểm sức khỏe CAO CẤP (được khám ngoại trú với chi phí 8 triệu/năm (bao gồm khám răng), điều trị nội trú hoặc sinh con với chi phí 105 triệu/năm) có thể khám bệnh ở các bệnh viện, phòng khám lớn, phòng khám quốc tế thoải mái. Bạn không còn lo về chi phí điều trị sức khỏe cho bản thân khi làm việc cho Secom
- Ngoài ra, được mua bảo hiểm sức khỏe cho người thân với chi phí thấp (cha, mẹ, vợ chồng, con cái) với quyền lợi khám và điều trị như trên. Làm việc lâu dài ở Secom, không chỉ bạn mà người thân còn thấy an toàn và sống vui khỏe.","- Làm việc ca 12 tiếng/ngày, một tuần nghỉ một ngày.
- Đảm bảo an ninh cho nhân sự và tài sản của công ty
- Thực hiện công việc bảo vệ tại vị trí được phân công
- Báo cáo nếu xảy ra sự cố
- Làm việc ở các trung tâm thương mại (được trợ cấp thêm 1,800,000 vnđ/tháng ngoài tiền lương)

Địa điểm làm việc:
1. Đà Nẵng (11 người)
2. Hồ Chí Minh (Quận 1, 7,10,12, Phú Nhuận, Bình Thạnh, Gò Vấp),
3. Hà Nội (Quận Long Biên, quận Đống Đa, quận Ba Đình, quận Hà Đông)
4. Bình Dương
5. Hải Phòng",,,"- Từ 18 đến dưới 50 đối với Nam
- Từ 18 đến dưới 50 đối với Nữ.
- Thật thà, chăm chỉ, cẩn thận
- Không hình xăm"
,Không yêu cầu,Nhân viên chính thức,Chưa có kinh nghiệm,9 - 18 triệu,Lao động phổ thôngThẩm định/Giám định/Quản lý chất lượngXây dựng,10,Nhận việc ngay,Trung cấp,Giờ hành chính,TP.HCM,"- Lương phụ trắc địa : từ 9 triệu – 13 triệu/tháng.
- Lương tổ trưởng trắc địa : từ 15 triệu – 18 triệu/tháng.
- Lương tháng 13.
- Hỗ trợ tiền ăn 1tr2 -1tr5 /tháng.
- Công ty lo chỗ ở nếu đi công trình tỉnh.
- Hỗ trợ tiền nhà 500k/tháng cho nhân viên nếu làm làm tại TP. HCM.
- Được đào tạo thêm trong quá trình làm việc theo yêu cầu công việc;
- Môi trường làm việc tập thể năng động giúp nhân viên hoàn thiện kỹ năng và kiến thức.
- Tham gia BHXH, BHYT, BHTNLĐ,…., và các chế độ theo quy định của cty.","Ưu tiên Phụ Trắc Đia Công Trình
- Đối với Phụ Trắc Địa Công Trình: Đi mia, đi gương, búng mực trên sàn, cột, vách cho công tác phần thô và hoàn thiện.
- Được hướng dẫn thêm về đọc bản vẽ, sử dụng máy thủy bình, toàn đạc điện tử, máy lazer khi có yêu cầu (được đào tạo trong thời gian làm việc).
- Đối với Tổ Trưởng Công Trình: Đọc và xử lý bản vẽ các loại phục vụ cho công tác trắc địa, xử lý các biên bản hiện trường (nếu có)
- Quản lý, phân công sắp xếp công việc hợp lý. Phối hợp với các bộ phận khác có liên quan trong việc triển khai công việc ngoài công trường và hoạt động chung của công ty.
- Nhận bàn giao, phối hợp giải quyết công việc, tổ chức ghiệm thu với nhà thầu chính, TVGS, CĐT….",,,"* PHỤ TRẮC ĐỊA CÔNG TRÌNH:
- Không yêu cầu kinh nghiệm.
- Được hướng dẫn đào tạo khi đi làm.
- Có tinh thần trách nhiệm, trung thực, có tinh thần cầu tiến trong công việc. Làm việc theo sự điều phối của cấp trên.
- Có phương tiện đi lại, sẵn sàng đi công tác xa, làm việc tăng ca.

* TỔ TRƯỞNG TRẮC ĐỊA CÔNG TRÌNH:
- Có bằng cấp chuyên ngành kỹ thuật trắc địa, cầu đường, quản lý đất đai, có kinh nghiệm thi công trắc địa công trình từ 1-2 năm,ưu tiên những người có kinh nghiệm đã từng quản lý nhóm đội.
- Sử dụng thành thạo máy móc, thiết bị (tối thiểu các loại máy thông dụng như: Leica, Nikon, Topcon, GPS).
- Đọc và xử lý bản vẽ các loại phục vụ cho công tác trắc địa, xử lý các biên bản hiện trường (nếu có)
- Quản lý, phân công sắp xếp công việc hợp lý. Phối hợp với các bộ phận khác có liên quan trong việc triển khai công việc ngoài công trường và hoạt động chung của công ty.
- Nhận bàn giao, phối hợp giải quyết công việc, tổ chức ghiệm thu với nhà thầu chính, TVGS, CĐT…."
,Không yêu cầu,Nhân viên chính thức,Chưa có kinh nghiệm,10 - 12 triệu,Chăm sóc khách hàngBán hàngLao động phổ thông,10,1 tháng,Trung học,Việc làm thu nhập cao,TP.HCM,"- Lương cứng: 6,800,000 đ

- Phụ cấp ca đêm: 1,200,000 đ

- Phụ cấp ăn uống: 400,000 đ

- Thưởng KPI:

+ 45 điểm: 575.000 VNĐ

+ 60 điểm: 2.300.000 VNĐ

+ 90 điểm: 4.600.000 VNĐ

+ 100 điểm: 10.350.000 VNĐ

( điểm sẽ được tính khi hoàn thành cho một hồ sơ khách hàng lấy thông tin và điển đầy đủ mỗi một khách hàng sẽ được tính 1.5đ điểm)

- Bonus: 2-3tr/ tháng hoặc chỗ ở cho nhân viên chính thức.

- Lương thử việc: 85%

- Thời gian thử việc: 1 tháng

- Phúc lợi: BHXH, Thưởng tháng 13, thưởng doanh thu, Phép năm... theo quy định Nhà Nước.","- Gọi điện thoại cho các doanh nghiệp có chủ là người VN, đang kinh doanh tại Canada

- Thông báo các gói cứu trợ của đối tác liên kết ở Canada cho các doanh nghiệp trong data đang gặp khó khăn sau đại dịch

- Mỗi ngày liên hệ được với 100 -120 doanh nghiệp (data công ty cung cấp)

- Thực hiên các công việc khác theo sự phân công của cấp trên

Địa điểm làm việc:

Địa chỉ 1: Bến Phú Đinh, p16, Q.8

Địa chỉ 2: Tòa nhà TSA Landing Bạch Đằng, P2, Q. Tân Bình",,,"- Tốt nghiệp: THPT trở lên

- Giới tính: Nam/Nữ

- Độ tuổi: Dưới 30 tuổi

- Thành thạo tin học văn phòng

- Không yêu cầu Tiếng Anh: Vì trao đổi trực tiếp người Việt sống tại nước ngoài.

- Không yêu cầu kinh nghiệm, giao tiếp tốt, siêng năng.

=> Thời gian làm việc: 22h00-6h00 từ T2-T6 (Nghỉ T7-CN)"
,Nam,Nhân viên chính thức,Không yêu cầu kinh nghiệm,10 - 20 triệu ( + Hoa hồng từ 2% đến 4%),Kinh doanhLao động phổ thôngTài xế/Lái xe/Giao nhận,10,2 tháng,Không yêu cầu,Giờ hành chính,TP.HCM,"- Lương cứng 8.840.000 ( thử việc 2 tháng)
- Chính thức = lương thử việc + thêm % chiết khấu kinh doanh. ( trung bình 10 triệu – 20 triệu/ tháng).","- Đi công tác: Chào hàng phát Gạch mẫu cho cửa hàng vật liệu xây dựng TPHCM và tỉnh, bán hàng giao hàng thu nợ.
- Công tác mỗi tháng khoảng 6 – 8 ngày đêm tuỳ tình hình. đi cùng tài xế xe của cty, khách sạn cty trả.
- Không đi công tác thì làm các công việc khác tại nhà máy.
- Làm việc và phỏng vấn: Công ty TNHH XNK Việt Loyal , QL1A B3/1b ấp 2 xã tân kiên, bình chánh, TPHCM ( cty cách vòng xoay An Lạc 500m).",,,"- Trình độ 12/12 .
- Nam 19 đến 32 tuổi.
- Được công ty đào tạo. vui vẻ siêng năng, sức khoẻ tốt,
- Yêu thích bán hàng và đi công tác.
- Chủ nhật nghỉ."
,Không yêu cầu,Nhân viên chính thức,Dưới 1 năm,15 - 20 triệu ( + Hoa hồng từ 100% đến 500%),Chăm sóc khách hàngBán hàngLao động phổ thông,10,2 tháng,Trung học,Việc làm thu nhập cao,TP.HCM,"- Full time : Lương cứng (6tr) + Bonus + Phụ cấp. Tổng thu nhập trung bình từ 10tr - 20tr +++
- Được tham hoạt động Teambuilding do Công ty tổ chức hàng năm.
- Tham gia các buổi Party cuối năm - đầu năm
- Được đào tạo nghiệp vụ trước khi làm việc.
- Thử việc 2 tháng
- Tham gia chế độ Bảo hiểm đầy đủ(Bảo hiểm xã hội, Bảo hiểm y tế, Bảo hiểm thất nghiệp)
- Được công ty mua thêm gói Bảo hiểm tai nạn và sức khỏe thêm
- Thưởng lễ tết, sinh nhật
- Cơ hội thăng tiến lên các cấp bậc Trưởng nhóm,Giám sát, Quản lý.","- Thực hiện cuộc gọi ra cho Khách hàng theo danh sách Công ty cung cấp
- Thuyết phục và thúc đẩy khách hàng thanh toán số tiền đã quá hạn của Hợp đồng vay
- Hỗ trợ/hướng dẫn Khách hàng sử dụng các kênh thanh toán thuận tiện, nhanh chóng
- Thời gian làm việc: Giờ hành chính
Thứ 2- Thứ 6: 8h00-17h30 & Buổi Sáng Thứ 7 (8h00-12h00)",,,"- Giao tiếp tốt: giọng nói rõ ràng, lưu loát, có kỹ năng tư vấn, thuyết phục.
- Tốt nghiệp THPT trở lên.
- Nắm bắt, xử lý tình huống tốt
- Chăm chỉ, Nhanh nhẹn, hoạt bát trong công việc.
- Biết sử dụng vi tính văn phòng cơ bản.
- Ưu tiên: đã từng làm việc trong linh vực tại chính đặc biệt là bộ phận xử lý nợ hoặc các linh vực dịch vụ,chăm sóc khách hàng qua điện thoại."
,Không yêu cầu,Nhân viên chính thức,1 năm,10 - 25 triệu,Kinh doanhBán hàngLao động phổ thông,5,2 tháng,Trung học,Giờ hành chính,TP.HCM,"- Lương CB: 6.000.000đ/tháng.
- Phụ cấp xăng: 500.000đ
- Hoa hồng: 3% -> 10%
- Tổng thu nhập từ 10 triệu -> 25 triệu/ tháng.
- Ký hợp đồng và hưởng đầy đủ các chế độ BHYT, BHXH, ... theo quy định hiện hành của nhà nước.
- Thưởng lương tháng 13
- Được hưởng các chế độ phúc lợi khác như: Nghĩ lễ, tết, phép năm…","- Chuyên kinh doanh sản phẩm là các loại đèn led
- Tìm KH mới, chăm sóc KH cũ
- Đi thị trường, tư vấn sản phẩm và tạo mối quan hệ tốt với KH
- Chi tiết CV được trao đổi cụ thể tại buổi phỏng vấn",,,"- Trình độ: Tốt nghiệp THPT trở lên.
- Độ tuổi từ: 22 – 45 tuổi.
- Trung thực, chăm chỉ, có tinh thần trách nhiệm cao.
- Năng động, giao tiếp tốt.
- Ưu tiên ứng viên có kinh nghiệm trong lĩnh vực đèn led, có bằng B2."
,Không yêu cầu,Nhân viên chính thức,Không yêu cầu kinh nghiệm,7 - 10 triệu,Bán hàngChăm sóc khách hàngLao động phổ thông,10,Nhận việc ngay,Không yêu cầu,Việc làm theo ca/Đổi ca,TP.HCM,"- Fulltime: 5.000.000đ/tháng + Hoa Hồng + Trách nhiệm ( Trên dưới 10.000.000đ/tháng theo năng lực ứng viên)
- Được ký hợp đồng lao động
- Lương tháng 13
- Được làm việc trong một môi trường trẻ, năng động, chuyên nghiệp
- Thưởng doanh thu, thưởng lễ tết.
- Du lịch với công ty 1 đến 2 lần/ năm
- Cơ hội thăng tiến lên cửa hàng trưởng, quản lý cửa hàng.","- Tư vấn và thuyết phục khách hàng mua sản phẩm của shop
- Chăm sóc khu trưng bày sản phẩm.
- Hỗ trợ giải đáp thắc mắc của khách hàng

***Làm việc tại các cửa hàng: Quận Bình Tân, Quận 10, Quận 3, Thủ Đức (Ứng viên có thể chọn địa điểm gần nhà)

** Thời gian làm việc: 9am-6pm và 12am-8pm( xoay ca mỗi tuần 1 lần), tháng off 2 ngày",,,"- Tốt nghiệp THPT trở lên
- Tuổi từ 18 – 30 tuổi
- Ưu tiên có kinh nghiệm ở vị trí bán hàng
- Biết sử dụng word, excel.
- Giao tiếp tốt, nhanh nhẹn, chăm chỉ, nhiệt tình, có trách nhiệm với công việc
- Chấp nhận sinh viên vừa học vừa làm
- Đã tiêm ít nhất một mũi vaccine
- Chấp nhận tăng ca theo mùa vụ
- Ưu tiên ứng viên nghiêm túc tiềm việc và gắn bó lâu dài với công ty"
